ZANSKAR_ID,TOKEN,CATEGORY,EXCH_TICKER,ZANSKAR_NAME,DERIVATIVE_TYPE,EXPIRY_DATE,EXPIRY_EXCHANGE,EXPIRY_TAG,UNDERLYING_ASSET,STREAM_ID,STRIKE_PRICE,LOT_SIZE,TICK_SIZE,PREV_HIGH_PRICE_RANGE,PREV_LOW_PRICE_RANGE,PREV_HIGH,PREV_LOW,PREV_CLOSE,PREV_LAST,PREV_SETTLEMENT,PREV_OPEN_INTEREST,UNDERLYING_PREV_CLOSE,ISIN,SERIES
21,101634,STOCKS,ADFFOODS,STOCK_ADFFOODS_MSE.CM.EQ,STOCK,N/A,0,N/A,ADFFOODS,1,,1,5,27580.0,18390.0,0.0,0.0,204.35,0.0,204.35,0,206.65,INE982B01027,EQ
22,101640,STOCKS,ADOR,STOCK_ADOR_MSE.CM.EQ,STOCK,N/A,0,N/A,ADOR,1,,1,5,102290.0,68200.0,0.0,0.0,1082.9,0.0,1082.9,0,1066.55,INE045A01017,EQ
23,104777,STOCKS,ADOR,STOCK_ADOR_MSE.CM.BE,STOCK,N/A,0,N/A,ADOR,1,,1,5,24350.0,16240.0,0.0,0.0,1082.9,0.0,1082.9,0,1066.55,INE045A01017,BE
24,101642,STOCKS,ADSL,STOCK_ADSL_MSE.CM.EQ,STOCK,N/A,0,N/A,ADSL,1,,1,5,24095.0,16065.0,0.0,0.0,155.1,0.0,155.1,0,155.0,INE102I01027,EQ
25,103405,STOCKS,ADSL,STOCK_ADSL_MSE.CM.BE,STOCK,N/A,0,N/A,ADSL,1,,1,5,2230.0,1490.0,0.0,0.0,155.1,0.0,155.1,0,155.0,INE102I01027,BE
26,101648,STOCKS,AEGISLOG,STOCK_AEGISLOG_MSE.CM.EQ,STOCK,N/A,0,N/A,AEGISLOG,1,,1,5,96860.0,64580.0,0.0,0.0,734.55,0.0,734.55,0,737.45,INE208C01025,EQ
27,101650,STOCKS,INSPIRISYS,STOCK_INSPIRISYS_MSE.CM.EQ,STOCK,N/A,0,N/A,INSPIRISYS,1,,1,5,11795.0,9655.0,0.0,0.0,89.1,0.0,89.1,0,88.3,INE020G01017,EQ
28,104633,STOCKS,INSPIRISYS,STOCK_INSPIRISYS_MSE.CM.BE,STOCK,N/A,0,N/A,INSPIRISYS,1,,1,5,12840.0,10510.0,0.0,0.0,89.1,0.0,89.1,0,88.3,INE020G01017,BE
29,101656,STOCKS,BBOX,STOCK_BBOX_MSE.CM.EQ,STOCK,N/A,0,N/A,BBOX,1,,1,5,52760.0,43170.0,0.0,0.0,513.75,0.0,513.75,0,529.8,INE676A01027,EQ
30,104559,STOCKS,BBOX,STOCK_BBOX_MSE.CM.BE,STOCK,N/A,0,N/A,BBOX,1,,1,5,52060.0,42600.0,0.0,0.0,513.75,0.0,513.75,0,529.8,INE676A01027,BE
31,101659,STOCKS,AHLUCONT,STOCK_AHLUCONT_MSE.CM.EQ,STOCK,N/A,0,N/A,AHLUCONT,1,,1,5,112055.0,74705.0,0.0,0.0,969.2,0.0,969.2,0,987.1,INE758C01029,EQ
32,103406,STOCKS,AHLUCONT,STOCK_AHLUCONT_MSE.CM.BE,STOCK,N/A,0,N/A,AHLUCONT,1,,1,5,3210.0,2140.0,0.0,0.0,969.2,0.0,969.2,0,987.1,INE758C01029,BE
