ZANSKAR_ID,TOKEN,CATEGORY,EXCH_TICKER,ZANSKAR_NAME,DERIVATIVE_TYPE,EXPIRY_DATE,EXPIRY_EXCHANGE,EXPIRY_TAG,UNDERLYING_ASSET,STREAM_ID,STRIKE_PRICE,LOT_SIZE,TICK_SIZE,PREV_HIGH_PRICE_RANGE,PREV_LOW_PRICE_RANGE,PREV_HIGH,PREV_LOW,PREV_CLOSE,PREV_LAST,PREV_SETTLEMENT,PREV_OPEN_INTEREST,UNDERLYING_PREV_CLOSE,ISIN,SERIES
671,102892,STOCKS,RALLIS,STOCK_RALLIS_MSE.CM.EQ,STOCK,N/A,0,N/A,RALLIS,1,,1,5,33800.0,22540.0,0.0,0.0,269.95,0.0,269.95,0,273.9,INE613A01020,EQ
672,104577,STOCKS,MUKANDLTD,STOCK_MUKANDLTD_MSE.CM.BE,STOCK,N/A,0,N/A,MUKANDLTD,1,,1,5,16030.0,10690.0,0.0,0.0,137.0,0.0,137.0,0,138.55,INE304A01026,BE
673,102230,STOCKS,MUKANDLTD,STOCK_MUKANDLTD_MSE.CM.EQ,STOCK,N/A,0,N/A,MUKANDLTD,1,,1,5,14535.0,9695.0,0.0,0.0,137.0,0.0,137.0,0,138.55,INE304A01026,EQ
674,102895,STOCKS,RAMANEWS,STOCK_RAMANEWS_MSE.CM.EQ,STOCK,N/A,0,N/A,RAMANEWS,1,,1,5,3695.0,3555.0,0.0,0.0,31.6,0.0,31.6,0,31.8,INE278B01020,EQ
675,104684,STOCKS,RAMANEWS,STOCK_RAMANEWS_MSE.CM.BE,STOCK,N/A,0,N/A,RAMANEWS,1,,1,5,4220.0,4060.0,0.0,0.0,31.6,0.0,31.6,0,31.8,INE278B01020,BE
676,107552,STOCKS,FLEXITUFF,STOCK_FLEXITUFF_MSE.CM.BE,STOCK,N/A,0,N/A,FLEXITUFF,1,,1,5,3445.0,3315.0,0.0,0.0,12.45,0.0,12.45,0,12.7,INE060J01017,BE
677,102178,STOCKS,FLEXITUFF,STOCK_FLEXITUFF_MSE.CM.EQ,STOCK,N/A,0,N/A,FLEXITUFF,1,,1,5,5890.0,5660.0,0.0,0.0,12.45,0.0,12.45,0,12.7,INE060J01017,EQ
678,102233,STOCKS,MUKTAARTS,STOCK_MUKTAARTS_MSE.CM.EQ,STOCK,N/A,0,N/A,MUKTAARTS,1,,1,5,10095.0,6735.0,0.0,0.0,68.4,0.0,68.4,0,63.1,INE374B01019,EQ
679,104589,STOCKS,MUKTAARTS,STOCK_MUKTAARTS_MSE.CM.BE,STOCK,N/A,0,N/A,MUKTAARTS,1,,1,5,10895.0,7265.0,0.0,0.0,68.4,0.0,68.4,0,63.1,INE374B01019,BE
680,102901,STOCKS,RAMCOIND,STOCK_RAMCOIND_MSE.CM.EQ,STOCK,N/A,0,N/A,RAMCOIND,1,,1,5,30890.0,20600.0,0.0,0.0,322.95,0.0,322.95,0,314.45,INE614A01028,EQ
681,104818,STOCKS,RAMCOIND,STOCK_RAMCOIND_MSE.CM.BE,STOCK,N/A,0,N/A,RAMCOIND,1,,1,5,7415.0,4945.0,0.0,0.0,322.95,0.0,322.95,0,314.45,INE614A01028,BE
682,102236,STOCKS,MUNJALAU,STOCK_MUNJALAU_MSE.CM.EQ,STOCK,N/A,0,N/A,MUNJALAU,1,,1,5,10245.0,6835.0,0.0,0.0,82.1,0.0,82.1,0,83.4,INE672B01032,EQ
683,110511,STOCKS,HERCULES,STOCK_HERCULES_MSE.CM.BE,STOCK,N/A,0,N/A,HERCULES,1,,1,5,18365.0,16625.0,0.0,0.0,159.3,0.0,159.3,0,159.3,INE688E01024,BE
684,102422,STOCKS,HERCULES,STOCK_HERCULES_MSE.CM.EQ,STOCK,N/A,0,N/A,HERCULES,1,,1,5,18015.0,16305.0,0.0,0.0,159.3,0.0,159.3,0,159.3,INE688E01024,EQ
685,102904,STOCKS,RAMCOSYS,STOCK_RAMCOSYS_MSE.CM.EQ,STOCK,N/A,0,N/A,RAMCOSYS,1,,1,5,51060.0,34040.0,0.0,0.0,540.4,0.0,540.4,0,573.55,INE246B01019,EQ
686,103402,STOCKS,RAMCOSYS,STOCK_RAMCOSYS_MSE.CM.BE,STOCK,N/A,0,N/A,RAMCOSYS,1,,1,5,43775.0,29185.0,0.0,0.0,540.4,0.0,540.4,0,573.55,INE246B01019,BE
687,102181,STOCKS,FMGOETZE,STOCK_FMGOETZE_MSE.CM.EQ,STOCK,N/A,0,N/A,FMGOETZE,1,,1,5,42770.0,28520.0,0.0,0.0,479.65,0.0,479.65,0,488.9,INE529A01010,EQ
