TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd01,Rsvd02,Rsvd03,Rsvd04
2026-01-06,2026-01-06,CM,MSE,STK,,,NOIDATOLL,EQ,,,,,,0.00,0.00,0.00,4.10,0.00,4.00,,4.10,,,0,0.00,0,F1,1,,,,,
2026-01-06,2026-01-06,CM,MSE,STK,,,NORTHARC,EQ,,,,,,0.00,0.00,0.00,266.85,0.00,257.35,,266.85,,,0,0.00,0,F1,1,,,,,
2026-01-06,2026-01-06,CM,MSE,STK,,,NOVAAGRI,EQ,,,,,,0.00,0.00,0.00,38.80,0.00,39.20,,38.80,,,0,0.00,0,F1,1,,,,,
2026-01-06,2026-01-06,CM,MSE,STK,,,NOVARTIND,EQ,,,,,,0.00,0.00,0.00,800.85,0.00,784.55,,800.85,,,0,0.00,0,F1,1,,,,,
2026-01-06,2026-01-06,CM,MSE,STK,,,NOVIS,EQ,,,,,,0.00,0.00,0.00,14.00,0.00,13.95,,14.00,,,0,0.00,0,F1,1,,,,,
2026-01-06,2026-01-06,CM,MSE,STK,,,NPL,EQ,,,,,,0.00,0.00,0.00,429.70,0.00,446.70,,429.70,,,0,0.00,0,F1,1,,,,,
2026-01-06,2026-01-06,CM,MSE,STK,,,NPRFIN,EQ,,,,,,0.00,0.00,0.00,30.30,0.00,28.45,,30.30,,,0,0.00,0,F1,1,,,,,
2026-01-06,2026-01-06,CM,MSE,STK,,,NPST,EQ,,,,,,0.00,0.00,0.00,1415.70,0.00,1392.70,,1415.70,,,0,0.00,0,F1,1,,,,,
2026-01-06,2026-01-06,CM,MSE,STK,,,NRAIL,EQ,,,,,,0.00,0.00,0.00,454.25,0.00,458.50,,454.25,,,0,0.00,0,F1,1,,,,,
2026-01-06,2026-01-06,CM,MSE,STK,,,NRBBEARING,EQ,,,,,,0.00,0.00,0.00,271.95,0.00,268.50,,271.95,,,0,0.00,0,F1,1,,,,,
2026-01-06,2026-01-06,CM,MSE,STK,,,NRL,EQ,,,,,,0.00,0.00,0.00,56.95,0.00,56.80,,56.95,,,0,0.00,0,F1,1,,,,,
2026-01-06,2026-01-06,CM,MSE,STK,,,NSDL,EQ,,,,,,0.00,0.00,0.00,1062.80,0.00,1065.60,,1062.80,,,0,0.00,0,F1,1,,,,,
2026-01-06,2026-01-06,CM,MSE,STK,,,NSIL,EQ,,,,,,0.00,0.00,0.00,6412.00,0.00,6496.50,,6412.00,,,0,0.00,0,F1,1,,,,,
2026-01-06,2026-01-06,CM,MSE,STK,,,NSL,EQ,,,,,,0.00,0.00,0.00,150.05,0.00,152.25,,150.05,,,0,0.00,0,F1,1,,,,,
2026-01-06,2026-01-06,CM,MSE,STK,,,NSLNISP,EQ,,,,,,0.00,0.00,0.00,45.60,0.00,45.00,,45.60,,,0,0.00,0,F1,1,,,,,
2026-01-06,2026-01-06,CM,MSE,STK,,,NTCIND,EQ,,,,,,0.00,0.00,0.00,167.90,0.00,159.95,,167.90,,,0,0.00,0,F1,1,,,,,
2026-01-06,2026-01-06,CM,MSE,STK,,,NTPC,EQ,,,,,,0.00,0.00,0.00,350.80,0.00,350.60,,350.80,,,0,0.00,0,F1,1,,,,,
2026-01-06,2026-01-06,CM,MSE,STK,,,NTPCGREEN,EQ,,,,,,0.00,0.00,0.00,93.95,0.00,96.00,,93.95,,,0,0.00,0,F1,1,,,,,
2026-01-06,2026-01-06,CM,MSE,STK,,,NUCLEUS,EQ,,,,,,0.00,0.00,0.00,910.75,0.00,918.70,,910.75,,,0,0.00,0,F1,1,,,,,
2026-01-06,2026-01-06,CM,MSE,STK,,,NURECA,EQ,,,,,,0.00,0.00,0.00,296.50,0.00,298.20,,296.50,,,0,0.00,0,F1,1,,,,,
2026-01-06,2026-01-06,CM,MSE,STK,,,NUVAMA,EQ,,,,,,0.00,0.00,0.00,1478.50,0.00,1492.90,,1478.50,,,0,0.00,0,F1,1,,,,,
2026-01-06,2026-01-06,CM,MSE,STK,,,NUVOCO,EQ,,,,,,0.00,0.00,0.00,355.00,0.00,355.40,,355.00,,,0,0.00,0,F1,1,,,,,
2026-01-06,2026-01-06,CM,MSE,STK,,,NV20,EQ,,,,,,0.00,0.00,0.00,156.03,0.00,155.64,,156.03,,,0,0.00,0,F1,1,,,,,
